Timestamp,S.No.,First Name,Last Name,Email address,Which of the following words appeals the most to you?,Domain 1,Domain 2,Domain 3,Project Preference 1,Project Preference 2,Project Preference 3,Project Preference 4,Project Preference 5,Do you have prior work experience of more than 1 year?,What is your broad area of academic qualification?,"Rank the following roles in order of what you are most likely to assume within a team [Idea-oriented (strategist, ideator, researcher)]","Rank the following roles in order of what you are most likely to assume within a team [Action-oriented (implementor, organiser, executor)]","Rank the following roles in order of what you are most likely to assume within a team [People-oriented (relationship-builder, team-worker, coordinator)]",Preferred Team Member (Paired),"Preferred Team Member

(only a few Fellows selected - there will be Fellows appearing more than once)","Preferred Team Member

(all Fellows selected only once)"
166,1,Aadil,Raza,Aadil.Raza@elmsampledata.com,,Black,Cakes,Green,Trees,Outer Space,Moss and Lichen,Greenhouse,Cakes and a Bottle,No,Visual / Performing / Fine Arts,2,1,3,Kartikeya,,
167,2,Aadya,Sachdeva,Aadya.Sachdeva@elmsampledata.com,,Yellow,Purple,Red,Purple LED,Love,Anger,Shades of Purple,Sunshine,Yes,Engineering,2,1,3,Aakanksha,,
176,3,Aakanksha,Jain,Aakanksha.Jain@elmsampledata.com,,Yellow,Purple,Red,Purple LED,Love,Anger,Shades of Purple,Sunshine,No,Humanities / Social Sciences,1,3,2,Aadya,,
117,4,Aayush,Celly,Aayush.Celly@elmsampledata.com,,Yellow,Purple,Red,Love,Shades of Purple,Purple LED,Anger,Bananas,No,Humanities / Social Sciences,1,3,2,Aisshwarya,,
177,5,Abheepsita,Purkayastha,Abheepsita.Purkayastha@elmsampledata.com,,Yellow,Purple,Red,Love,Anger,Purple LED,Sunshine,Shades of Purple,No,Visual / Performing / Fine Arts,3,2,1,Ankita,,
122,6,Abhishek,Vaidyanath,Abhishek.Vaidyanath@elmsampledata.com,,Puppies,Red,Yellow,Two Hundred Puppies,Our Corona Puppies,Anger,Heart,Sunshine,No,Mass Communication,2,1,3,Maathangi,,
132,7,Aisshwarya,Tiwari,Aisshwarya.Tiwari@elmsampledata.com,,Yellow,Purple,Red,Love,Shades of Purple,Purple LED,Bananas,Anger,No,Mass Communication,1,3,2,Aayush,,
7/24/2020 14:17:40,8,Alex,Behrman,Alex.Behrman@elmsampledata.com,"Cakes, Bottles, Dance",Cakes,Bottles,Dance,The Dancing Mind,Dancing at the Disco,Flight of the Cakes,Between the Cakes and Me,Cakes and a Bottle,No,Mass Communication,3,1,2,Alfredo,Junior,Beta
7/24/2020 13:49:44,9,Alfredo,Choat,Alfredo.Choat@elmsampledata.com,"Puppies, Neon, Dance",Puppies,Neon,Dance,The Dancing Mind,Dancing at the Disco,Two Hundred Puppies,King Neon,Our Corona Puppies,No,Engineering,3,2,1,Alex,Lucretia,Jesusita
7/24/2020 15:27:55,10,Alpha,Maxin,Alpha.Maxin@elmsampledata.com,"Neon, Exotic, Corona",Neon,Exotic,Corona,Our Corona Puppies,Two Hundred Puppies,Exotic Dream and a Pinch of Bottle,A Box of Cakes with Neon Bottle,This Love is Exotic But It's Unique,Yes,Chartered Accountancy,2,1,3,Dario,Marcus,Viviana
97,11,Aman,Sahay,Aman.Sahay@elmsampledata.com,,Red,Blue,Magenta,King Magenta,Love,Passion,Waves,Anger,No,Engineering,3,2,1,,,
102,12,Amol,Keshav,Amol.Keshav@elmsampledata.com,,Blue,Red,Magenta,King Magenta,Love,Passion,Anger,Indigo,No,Medicine,1,2,3,,,
188,13,Amresh,Kumar,Amresh.Kumar@elmsampledata.com,,Magenta,Blue,Red,Love,King Magenta,Passion,Anger,Water,No,Engineering,3,2,1,,,
57,14,Anagha,Seetharama,Anagha.Seetharama@elmsampledata.com,,Neon,Dance,Exotic,King Neon,The Dancing Mind,Dancing at the Disco,A Box of Cakes with Neon Bottle,E.X.O.T.I.C.,Yes,Mass Communication,2,1,3,Ramdev,,
161,15,Anahita,Sahu,Anahita.Sahu@elmsampledata.com,,Red,Magenta,Blue,Passion,King Magenta,Anger,Water,Heart,No,Law,1,2,3,,,
82,16,Anamika,Muraleedharan,Anamika.Muraleedharan@elmsampledata.com,,Puppies,Cakes,Corona,Our Corona Puppies,Two Hundred Odd Puppies,Cakes and a Bottle,Between the Cakes and Me,The Love of Cakes,Yes,Pure / Natural Sciences,3,1,2,Bhargavi,,
62,17,Aneeqa,Khalid,Aneeqa.Khalid@elmsampledata.com,,Puppies,Cakes,Bottles,Two Hundred Puppies,Two Hundred Odd Puppies,Our Corona Puppies,Our Exotic Bottle Love,Bring Me the Cakes,No,Law,1,2,3,Sai,,
127,18,Angelin,Joy,Angelin.Joy@elmsampledata.com,,Red,Blue,Magenta,Passion,Love,King Magenta,Water,Indigo,No,Humanities / Social Sciences,1,3,2,,,
112,19,Anjana,P,Anjana.P@elmsampledata.com,,Puppies,Red,Yellow,Two Hundred Puppies,Our Corona Puppies,Love,Sunshine,Heart,Yes,Visual / Performing / Fine Arts,2,3,1,Khalid,,
183,20,Ankita,Dahiya,Ankita.Dahiya@elmsampledata.com,,Yellow,Purple,Red,Love,Anger,Purple LED,Shades of Purple,Sunshine,Yes,Humanities / Social Sciences,3,1,2,Abheepsita,,
162,21,Anoushka,Mandal,Anoushka.Mandal@elmsampledata.com,,Red,Blue,Magenta,Love,Passion,King Magenta,Heart,Indigo,Yes,Engineering,1,2,3,,,
174,22,Anshuman,Singh,Anshuman.Singh@elmsampledata.com,,Red,Blue,Magenta,King Magenta,Passion,Love,Indigo,Water,No,Humanities / Social Sciences,1,3,2,,,
178,23,Anushri,Rastogi,Anushri.Rastogi@elmsampledata.com,,Red,Blue,Magenta,King Magenta,Passion,Indigo,Anger,Love,Yes,Engineering,1,2,3,,,
72,24,Arjun,Bhatia,Arjun.Bhatia@elmsampledata.com,,Puppies,Cakes,Bottles,Two Hundred Puppies,Two Hundred Odd Puppies,Our Corona Puppies,Two Hundred Dancing Iced Puppies,A Box of Cakes with Neon Bottle,Yes,Medicine,1,2,3,Saumya,,
93,25,Arthy,Ramu,Arthy.Ramu@elmsampledata.com,,Cakes,Neon,Corona,A Box of Cakes with Neon Bottle,Bottle Fighters,Two Hundred Puppies,The Dancing Mind,Bottle Tribute,Yes,Chartered Accountancy,2,1,3,Siddhant,,
141,26,Arunima,Singh,Arunima.Singh@elmsampledata.com,,Puppies,Black,White,Two Hundred Puppies,Outer Space,Snow,Our Corona Puppies,Glaciers,Yes,Chartered Accountancy,2,1,3,Mahrukh,,
151,27,Arushi,Choudhary,Arushi.Choudhary@elmsampledata.com,,Red,Blue,Magenta,Love,King Magenta,Anger,Waves,Heart,Yes,Humanities / Social Sciences,2,3,1,,,
87,28,Ashwarya,Shukla,Ashwarya.Shukla@elmsampledata.com,,Cakes,Puppies,Red,Two Hundred Puppies,Two Hundred Odd Puppies,Our Corona Puppies,Cakes and a Bottle,Love,Yes,Engineering,2,3,1,Veeravalli,,
73,29,Ashwin,Sreekumar,Ashwin.Sreekumar@elmsampledata.com,,Puppies,Cakes,Bottles,Two Hundred Puppies,"Bottle, Cakes and Puppies",Our Corona Puppies,B.O.T.T.L.E.,A Box of Cakes with Neon Bottle,Yes,Engineering,2,1,3,Muskan,,
92,30,Avnie,Garg,Avnie.Garg@elmsampledata.com,,Dance,Exotic,Corona,Exotic Dream and a Pinch of Bottle,Dancing at the Disco,Our Corona Puppies,The Kind of Songs Flight of the Cakes might record,E.X.O.T.I.C.,No,Engineering,1,2,3,Zakir,,
74,31,Avnika,Gupta,Avnika.Gupta@elmsampledata.com,,Puppies,Cakes,Bottles,Two Hundred Puppies,Two Hundred Odd Puppies,Our Corona Puppies,Bring Me the Cakes,Cakes and a Bottle,No,Engineering,2,1,3,Leah,,
94,32,Ayush,Gandhi,Ayush.Gandhi@elmsampledata.com,,Cakes,Bottles,Neon,Cakes and a Bottle,Exotic Dream and a Pinch of Bottle,Between the Cakes and Me,B.O.T.T.L.E.,Bring Me the Cakes,No,Visual / Performing / Fine Arts,1,2,3,Sri,,
168,33,Babra,Sharief,Babra.Sharief@elmsampledata.com,,Exotic,Bottles,Blue,Exotic Dream and a Pinch of Bottle,E.X.O.T.I.C.,Ink,Bottleback,Summer Sky,No,Humanities / Social Sciences,2,1,3,,,
77,34,Bazila,Aijaz,Bazila.Aijaz@elmsampledata.com,,Puppies,Bottles,Dance,B.O.T.T.L.E.,Megabottle,Dancing at the Disco,Bottle Tribute,The Dancing Mind,No,Pure / Natural Sciences,1,2,3,Medha,,
7/24/2020 15:28:49,35,Beta,Kolb,Beta.Kolb@elmsampledata.com,"Puppies, Cakes, Dance",Puppies,Cakes,Dance,Bring Me the Cakes,Cakes Two Hundred,Flight of the Cakes,The Love of Cakes,The Dancing Mind,No,Visual / Performing / Fine Arts,3,2,1,Kristi,Alpha,Gamma
169,36,Bharat,Chaturvedi,Bharat.Chaturvedi@elmsampledata.com,,Exotic,Bottles,Blue,Bottlehead,E.X.O.T.I.C.,Bottleback,Summer Sky,Waves,Yes,Engineering,2,1,3,,,
142,37,Bhargavi,Thakur,Bhargavi.Thakur@elmsampledata.com,,Puppies,Black,White,Two Hundred Puppies,Snow,Outer Space,Glaciers,Our Corona Puppies,Yes,Visual / Performing / Fine Arts,3,1,2,Anamika,,
128,38,Bhaskar,Choudhary,Bhaskar.Choudhary@elmsampledata.com,,Blue,Exotic,Magenta,Indigo,Waves,Exotic Dream and a Pinch of Bottle,E.X.O.T.I.C.,King Magenta,Yes,Medicine,3,1,2,,,
133,39,Bhumika,Krishnani,Bhumika.Krishnani@elmsampledata.com,,Blue,Exotic,Magenta,Indigo,Exotic Dream and a Pinch of Bottle,Waves,If I was your Exotic Bottle,King Magenta,Yes,Visual / Performing / Fine Arts,3,1,2,,,
7/25/2020 2:07:40,40,Brandon,Kil,Brandon.Kil@elmsampledata.com,"Puppies, Bottles, Dance",Puppies,Bottles,Dance,B.O.T.T.L.E.,Megabottle,Dancing at the Disco,Bottle Tribute,The Dancing Mind,No,Pure / Natural Sciences,3,2,1,Seka,,
7/24/2020 15:01:05,41,Cassey,Saunders,Cassey.Saunders@elmsampledata.com,"Puppies, Bottles, Exotic",Puppies,Bottles,Exotic,Two Hundred Puppies,"Bottle, Cakes and Puppies",Two Hundred Dancing Iced Puppies,Two Hundred Puppies,Our Corona Puppies,Yes,Humanities / Social Sciences,1,3,2,Marcus,Dara,Tracey
7/24/2020 15:02:56,42,Cathey,Bernardo,Cathey.Bernardo@elmsampledata.com,"Puppies, Bottles, Neon",Puppies,Bottles,Neon,Exotic Dream and a Pinch of Bottle,Two Hundred Puppies,Our Exotic Bottle Love,"Bottle, Cakes and Puppies",Our Corona Puppies,Yes,Humanities / Social Sciences,2,1,3,Landon,Marcus,Ute
170,43,Chandher,Shekar,Chandher.Shekar@elmsampledata.com,,Exotic,Magenta,White,Exotic Dream and a Pinch of Bottle,King Magenta,E.X.O.T.I.C.,Peace,Snow,Yes,Engineering,2,1,3,,,
189,44,Charumitra,Sardana,Charumitra.Sardana@elmsampledata.com,,Blue,Exotic,White,E.X.O.T.I.C.,Exotic Dream and a Pinch of Bottle,Peace,Waves,Indigo,Yes,Engineering,2,1,3,,,
7/24/2020 13:45:55,45,Cherlyn,Cabral,Cherlyn.Cabral@elmsampledata.com,"Bottles, Neon, Corona",Bottles,Neon,Corona,Bottleback,Cakes and a Bottle,Bottle Fighters,Our Corona Puppies,King Neon,No,Chartered Accountancy,2,1,3,Donny,Onita,Jacquie
7/24/2020 14:07:21,46,Dara,Allshouse,Dara.Allshouse@elmsampledata.com,"Puppies, Bottles, Corona",Puppies,Bottles,Corona,Our Corona Puppies,Bottle Tribute,Two Hundred Puppies,B.O.T.T.L.E.,Two Hundreddust,No,Engineering,2,3,1,Ute,Preston,Kayleen
7/24/2020 14:49:54,47,Dario,Werth,Dario.Werth@elmsampledata.com,"Puppies, Neon, Corona",Puppies,Neon,Corona,King Neon,A Box of Cakes with Neon Bottle,The Kind of Songs Flight of the Cakes might record,Flight of the Cakes,Megabottle,No,Humanities / Social Sciences,1,2,3,Alpha,Landon,Ozell
7/24/2020 13:31:10,48,Delisa,Beaubien,Delisa.Beaubien@elmsampledata.com,"Dance, Exotic, Corona",Dance,Exotic,Corona,Exotic Dream and a Pinch of Bottle,Dancing at the Disco,Our Corona Puppies,The Kind of Songs Flight of the Cakes might record,E.X.O.T.I.C.,No,Visual / Performing / Fine Arts,3,1,2,Marleen,Dario,Wendell
67,49,Depali,Nair,Depali.Nair@elmsampledata.com,,Puppies,Cakes,Bottles,Two Hundred Puppies,Two Hundred Odd Puppies,Our Corona Puppies,A Box of Cakes with Neon Bottle,"Bottle, Cakes and Puppies",No,Medicine,1,2,3,Snehi,,
7/24/2020 13:30:19,50,Desmond,Chico,Desmond.Chico@elmsampledata.com,"Bottles, Neon, Corona",Bottles,Neon,Corona,If I was your Exotic Bottle,Bottle Army,Bottle Tribute,Our Corona Puppies,"Bottle, Cakes and Puppies",Yes,Law,1,2,3,Preston,Jacquie,Junior
